debido,causa
1 HERIDA PERFORANTE Y 1 HERIDA PENETRANTE POR PAF EN CABEZA 1 HERIDA PERFORANTE Y 1 HERIDA PENETRANTE POR PAF EN ABDOMEN,SIN REGISTRO
TRAUMATISMO TORÁCICO ABIERTO POR PAF - 01 PENETRANTE,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF - 01 PERFORANTE,SIN REGISTRO
HERIDA PERFORO CONTUSA DE CURSO PENETRANTE EN TÓRAX - 01 - POR PAF,SIN REGISTRO
LACERACIÓN ENCEFÁLICA POR PAF,SIN REGISTRO
TRAUMATISMO ENCÉFALO CRANEANO GRAVE POR PAF,SIN REGISTRO
TRAUMATISMO ABIERTO DE CRÁNEO Y TÓRAX POR PAF,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF 06 PERFORANTES - 01 PENETRANTES,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO CERVICAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF 01 PERFORANTE,SIN REGISTRO
SIETE HERIDAS DE CURSO PERFORANTES Y UNA DE TIPO PENETRANTE EN REGIÓN CEFALOCERVICAL POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINAL ABIERTO POR PAF 01 PENETRANTE,SIN REGISTRO
HERIDAS POR BALA EN CABEZA TÓRAX Y ABDOMEN - 2 PENETRANTES,SIN REGISTRO
HERIDA PENETRANTE CRANEAL POR BALA,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN CABEZA,SIN REGISTRO
TRAUMATISMO TORÁCICO ABIERTO POR PAF - 01 PENETRANTE.,SIN REGISTRO
TRAUMATISMOS TORÁXICOS ABIERTOS POR PAF,SIN REGISTRO
TRAUMATISMO TÓRACO ABDOMINAL ABIERTO POR PAF 05 PENETRANTES,SIN REGISTRO
HERIDA PERFORANTE POR BALA EN TORAX,SIN REGISTRO
1. TRAUMATISMO ENCEFALO CRANEANO ABIERTO POR PAF. 2. TRAUMATISMO TORACICO ABIERTO POR PAF.,SIN REGISTRO
1 HERIDA PERFORANTE POR PAF EN TORAX Y 1 HERIDA PERFORANTE POR PAF EN ABDOMEN,SIN REGISTRO
01 HERIDA PENETRANTE POR PAF,SIN REGISTRO
1 HERIDA PERFORANTE POR PAF EN TORAX Y 3 HERIDAS PERFORANTES POR PAF EN ABDOMEN,SIN REGISTRO
TRAUMATISMO MÚLTIPLE ABIERTO POR PAF,SIN REGISTRO
SHOCK HIPOVOLÉMICO HEMORRÁGICO. LACERACIÓN VASCULAR. HERIDA PENETRANTE ABDOMINAL. PAF .38,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN CABEZA Y ABDOMINO TORAXICA,SIN REGISTRO
NUEVE HERIDAS DE CURSO PERFORANTE EN REGION FACIAL TORACOABDOMINAL PELVICA MIEMBROS SUPERIORES Y MIEMBROS INFERIORES POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALA EN PELVIS ABDOMEN Y TÓRAX - DOS PENETRANTES,SIN REGISTRO
2 HERIDAS PERFORANTES POR PAF EN HEMITORAX IZQUIERDO -1-HERIDA PENETRANTE POR PAF EN ABDOMEN Y 1 HERIDA PENETRANTE POR PAF EN REGION LUMBAR,SIN REGISTRO
HERIDAS EN TÓRAX POR PAF - 01 PERFORANTE,SIN REGISTRO
HERIDA PENETRANTE CÉFALO-CÉRVICO-TORÁCICA POR BALA,SIN REGISTRO
TRAUMATISMO CRÁNEO ENCEFÁLICO SEVERO POR PAF,SIN REGISTRO
HERIDAS EN CABEZA - CUELLO - TÓRAX - ABDOMEN - EXTREMIDAD SUPERIOR IZQUIERDA POR PAF 05 PENETRANTES,SIN REGISTRO
HERIDA DE BALA EN CABEZA POR PROYECTIL DE ARMA DE FUEGO,SIN REGISTRO
1 HERIDA PERFORANTE POR PAF EN CABEZA - 1 HERIDA PENETRANTE POR PAF EN TORAX Y 2 HERIDAS PERFORANTES POR PAF EN TORAX,SIN REGISTRO
CINCO HERIDAS DE CURSO PERFORANTE Y TRES HERIDAS DE CURSO PENETRANTE EN REGION TORACOABDOMINAL PELVICA MIEMBROS SUPERIORES E INFERIORES POR PAF,SIN REGISTRO
HERIDAS MULTIPLES PERFORANTES POR BALA EN CUELLO TORAX Y PELVIS.,SIN REGISTRO
HERIDA PERFORANTE Y PENETRANTE DE CABEZA POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE CABEZA POR PAF,SIN REGISTRO
LACERACIÓN PULMONAR. HEMOTÓRAX MASIVO. HERIDA PERFORANTE TORACO-CERVICAL . PAF,SIN REGISTRO
03 HERIDAS PERFORANTES POR PAF EN TORAX,SIN REGISTRO
HERIDA PENETRANTE CERVICOFACIAL POR PAF - HERIDA PENETRANTE DE ABDOMEN POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE TORAX POR PAF. HERIDA PENETRANTE TORACOABDOMINAL 01. HERIDAS PERFORANTES DE MIEMBROS SUPERIORES POR PAF.,SIN REGISTRO
LACERACIÓN ENCEFÁLICA Y VASCULAR . HERIDA PENETRANTE EN CRÁNEO. PAF 9MM CORTO ENCAMISETADO,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALA EN TÓRAX 2 PENETRANTES,SIN REGISTRO
TRAUMATISMO MÚLTIPLE POR PAF -01 PENETRANTE-,SIN REGISTRO
TRAUMATISMO VERTEBROMEDULAR CERVICAL C1 C2 POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO TORAXICO ABIERTO POR PAF,SIN REGISTRO
LACERACIÓN PULMONAR Y CARDÍACA. 02 HERIDAS DE CURSO PENETRANTES EN TÓRAX. PAF .38.,SIN REGISTRO
LACERACIÓN ENCEFÁLICA PUILMONAR Y CARDIACA. 02 HERIDAS PENETRANTYES CRANEOFACIAL. 01 HERIDA PENETRANTE DEL TORAX POR PAF ENCAMISETADO PARABELLUM.,SIN REGISTRO
TRAUMATISMOS MÚLTIPLES POR PAF 01 PENETRANTES,SIN REGISTRO
TRAUMATISMOS MÚLTIPLES POR PAF 02 PENETRANTES,SIN REGISTRO
HERIDA PENETRANTE CERVICOFACIAL POR PAF .38,SIN REGISTRO
HERIDAS EN TÓRAX - CUELLO - CABEZA POR PAF - 01 PERFORANTE,SIN REGISTRO
TRAUMATISMO ENCÉFALO CRANEANO POR PAF,SIN REGISTRO
TRAUMATISMO VERTEBROMEDULAR CERVICAL SEVERO POR PAF,SIN REGISTRO
HERIDA PENETRANTE CRANEAL. LACERACIÓN ENCEFÁLICA. PAF ENCAMISETADO.,SIN REGISTRO
SHOCK HIPOVOLÉMICO HEMORRÁGICO. LACERACIÓN CARDÍACA Y PULMONAR. HERIDA DE CURSO PERFORANTE DEL TÓRAX. PAF,SIN REGISTRO
TRAUMA TORÁCICO ABIERTO POR PAF 01 PERFORANTE,SIN REGISTRO
LACERACIONES ENCEFÁLICAS. FRACTURAS DE BASE Y BÓVEDA CRANEAL. TRAUMATISMO CRANEONCEFÁLICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORAXICO SEVERO POR PAF,SIN REGISTRO
04 HERIDAS PENETRANTES POR PAF EN CABEZA -01 HERIDA PERFORANTE POR PAF EN CABEZA -03 HERIDAS PERFORANTES POR PAF EN TORAX,SIN REGISTRO
TRAUMA TORACO ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES CEFÁLICAS POR BALA -UNA PENETRANTE-,SIN REGISTRO
HERIDAS MÚLTIPLES CEFÁLICAS Y ABDOMINALES POR BALA - 6 PENETRANTES -,SIN REGISTRO
OCHO HERIDAS PERFORANTES Y UNA HERIDA PENETRANTE EN REGION CERVICOTORAXICA ABDOMINAL PELVICA Y MIEMBRO SUPERIOR IZQUIERDO POR PAF,SIN REGISTRO
LACERACIÓN ENCEFÁLICA Y VASCULAR. HERIDA PENETRANTE CRÁNEOFACIAL. PAF ENCAMISETADO.,SIN REGISTRO
HEMORRAGIA CEREBRAL. HERIDA PENETRANTE CEFALO-CERVICAL. PAF ENCAMISETADO.,SIN REGISTRO
HERIDA PERFORO CONTUSA DE CURSO PENETRANTE EN REGIÓN CEFÁLICO-CERVICAL 01 POR PAF,SIN REGISTRO
HERIDA DE CURSO PERFORANTE DEL BRAZO DERECHO CON REINGRESO PENETRANTE TORACO-ABDOMINAL. PAF ENCAMISETADO.,SIN REGISTRO
HERIDA PERFORO CONTUSA DE CURSO PENETRANTE 01 EN REGIÓN TORACO ABDOMINO-PELVICO. HERIDAS PERFORO CONTUSAS DE CURSO PERFORANTE EN REGIÓN DORSO LUMBAR 01- MIEMBRO INFERIOR IZQUIERDO 01 - MIEMBRO INFERIOR DERECHO-REGIÓN GLÚTEA 01 POR PAF,SIN REGISTRO
HERIDA PERFORANTE EN TÓRAX 01 X PAF,SIN REGISTRO
HERIDA PENETRANTE TORÁCICA POR BALA,SIN REGISTRO
HERIDA PERFORANTE MULTIPLE POR PAF - TRAUMATISMO TORAXICO CERRADO POR PAF - LACERACION HEPATICO Y CARDIACO POR PAF - SHOCK HIPOVOLEMICO,SIN REGISTRO
HERIDAS MULTIPLES POR BALAS EN REGIONES CEFALICA 3 PENETRANTES CERVICAL 5 PENETRANTES Y TORACICA 1 PENETRANTE,SIN REGISTRO
TRAUMA TORACO ABDOMINAL ABIERTO POR PAF 02 PERFORANTES,SIN REGISTRO
TRAUMATISMOS MÚLTIPLES POR PAF- DIEZ HERIDAS PENETRANTES,SIN REGISTRO
HERIDAS PERFORO CONTUSAS DE CURSO PENETRANTE 03 EN CABEZA- DE CURSO PERFORANTE 01 EN CABEZA -01 EN REGIÓN ESCAPULAR IZQUIERDA CON REINGRESO CERVICO CRANEAL- 01 EN REGIÓN TORÁCICA POR PAF,SIN REGISTRO
HERIDAS PERFORANTES MULTIPLES POR PAF - TRAUMATISMO TORAXICO CERRADO POR PAF- TRAUMATISMO ABDOMINAL ABIERTO POR PAF - FALLA MULTIORGANICA.,SIN REGISTRO
TRAUMATISMO ENCEFALOCRANEANO SEVERO POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES CEFÁLICAS CERVICALES Y TORÁCICAS POR BALAS -2 PENETRANTES-,SIN REGISTRO
TRAUMATISMO ABIERTO CRANEO ENCEFÁLICO. TRES HERIDAS DE CURSO PENETRANTE EN REGIÓN CEFÁLICA. PAF CAL .38.,SIN REGISTRO
TRAUMATISMO ABDOMINAL CERRADO POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES CEFÁLICAS CERVICALES TORÁCICAS Y EN EXTREMIDADES POR BALA - 1 PENETRANTE,SIN REGISTRO
TRAUMATISMO ENCEFALOCRANEANO SEVERO ABIERTO POR PAF,SIN REGISTRO
HERIDA PERFORANTE CRANEAOENCEFÁLICA POR BALA,SIN REGISTRO
TRAUMATISMO ABDOMINAL CERRADO POR PAF.,SIN REGISTRO
HERIDA PERFORANTE EN CABEZA 01 POR PAF,SIN REGISTRO
SHOCK HIPOVOLÉMICO HEMORRÁGICO. LACERACIÓN PULMONAR Y VASCULAR. HERIDA PERFORANTE DEL TÓRAX HERIDA PENETRANTE DEL ABDOMEN HERIDA PENETRANTE CERVICAL POR PAF ENCAMISETADO.,SIN REGISTRO
TRAUMATISMO CERVICAL ABIERTO TRAUMA TORAXICO ABIERTO POR PAF,SIN REGISTRO
-MUERTE VIOLENTA SUCESO DE TRANSITO,SIN REGISTRO
HERIDA PERFORANTE DE CABEZA 01 POR PAF,SIN REGISTRO
LACERACIONES ENCEFÁLICAS MÚLTIPLES. FRACTURA DE BASE Y BÓVEDA CRANEAL. TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF.,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALAS EN TÓRAX Y EXTREMIDADES - 3 PENETRANTES,SIN REGISTRO
LACERACIÓN ENCEFÁLICA Y VASCULAR. HERIDA PERFORANTE DEL CRÁNEO POR PAF.,SIN REGISTRO
TRAUMATISMO VERTEBROMEDULAR CERVICAL C1 SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINO-PELVICO ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO SEVERO POR PAF,SIN REGISTRO
HEMOTÓRAX MASIVO. LACERACIONES CARDIACAS Y DE GRANDES VASOS. TRAUMATISMOS MÚLTIPLES POR PAF.,SIN REGISTRO
04 HERIDAS PENETRANTES POR PAF EN CUELLO- ABDOMEN Y PELVIS Y 04 HERIDAS PERFORANTES POR PAF EN TORAX,SIN REGISTRO
TRAUMATISMOS MULTIPLES POR BALA EN CABEZA Y TORAX UNO PENETRANTE,SIN REGISTRO
LESIONES MULTIPLES POR PAF,SIN REGISTRO
CUATRO HERIDAS DE CURSO PERFORANTE 04 EN REGION CEFALOCERVICAL Y ABDOMINO PELVICA POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO GRAVE POR PAF,SIN REGISTRO
TRAUMA TORACICO CERRADO POR PAF,SIN REGISTRO
LACERACIÓN ENCEFÁLICA Y VASCULAR. HERIDA PERFORANTE CRANEAL. HERIDA PENETRANTE GLÚTEA. PAF ENCAMISETADO CORTO CORTO 9MM,SIN REGISTRO
TRAUMATISMO CRANEOENFEFÁLICO SEVERO POR PAF,SIN REGISTRO
HERIDA PENETRANTE TORÁCICA Y EN MIEMBRO SUPERIOR IZQUIERDO POR BALA,SIN REGISTRO
TRES HERIDAS DE TIPO PERFORANTE EN REGION TORAXICA Y LUMBOSACRA POR PAF,SIN REGISTRO
05 HERIDAS PENETRANTES Y 02 PERFORANTES POR PAF EN CUELLO-TORAX Y ABDOMEN,SIN REGISTRO
5 HERIDAS PENETRANTES POR PAF EN CUELLO TORAX ABDOMEN Y MIEMBRO INFERIOR DOS HERIDAS PERFORANTES POR PAF EN TORAX,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN TORAX 2 HERIDAS PERFORANTES POR PAF TORACOABDOMINALES Y 1 HERIDA PENETRANTE POR PAF CRANEOCERVICAL.,SIN REGISTRO
TEC ABIERTO - TRAUMATISMO TORÁXICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO GRAVE POR PAF,SIN REGISTRO
LACERACIÓN ENCEFÁLICA Y VASCULAR. HERIDA DE CURSO PENETRANTE CRANEAL. POR PAF CAL. 9MM CORTO,SIN REGISTRO
HERIDAS PERFORANTES Y PENETRANTES DE TORAX Y ABDOMEN POR PAF,SIN REGISTRO
HEMORRAGIA SEVERA POR TRAUMA TORÁCICO POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE TÓRAX 02 POR PAF.,SIN REGISTRO
HERIDA PERFORANTE DE CABEZA 01 POR PAF. HERIDAS PENETRANTES Y PERFORANTES DE MIEMBRO SUPERIOR E INFERIORES POR PAF.,SIN REGISTRO
HERIDA PERFORANTE POR BALA EN TÓRAX,SIN REGISTRO
TRAUMATISMO CRANEO-ENCEFALICO ABIERTO SEVERO POR PAF,SIN REGISTRO
LACERACIÓN CARDIACA - TRAUMA MÚLTIPLE POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO-ENCEFALICO FACIAL POR PAF- 01 HERIDA PENETRANTE - 01 HERIDA PERFORANTE,SIN REGISTRO
HEMORRAGIA MASIVA. LACERACIÓN HEPÁTICA RENAL VASCULAR E INTESTINAL. HERIDA PERFORANTE TÓRACO ABDOMINAL HERIDA PENETRANTE DEL MUSLO IZQUIERDO HERIDA PENETRANTE DE MANO DERECHA. PAF ENCAMISETADO.,SIN REGISTRO
HERIDA DE CURSO PENETRANTE EN CABEZA POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES TÓRACOABDOMINALES POR BALAS - DOS PENETRANTES,SIN REGISTRO
DOS HERIDAS PERFORANTES EN REGION CEFALICA Y TORACOABDOMINAL 02 Y UNA HERIDA PENETRANTE EN REGION DORSOLUMBAR 01 POR PAF,SIN REGISTRO
TRAUMATISMO TORAXICO POR PAF,SIN REGISTRO
HEMOTÓRAX MASIVO. LACERACIONES PULMONARES Y CARDÍACAS. TRAUMATISMOS TORÁCICOS MÚLTIPLES POR PAF.,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALA EN TÓRAX ABDOMEN Y EXTREMIDADES - DOS PENETRANTES,SIN REGISTRO
HERIDA PENETRANTE DE CABEZA 01 POR PAF HERIDA PENETRANTE PELVICA 01 POR PAF HERIDAS PERFORANTES DE ABDOMEN POR PAF,SIN REGISTRO
DOS HERIDAS PERFORANTES EN CARA Y UNA PENETRANTE POR PAF EN CRANEO - UNA HERIDA PERFORANTE EN TORAX Y DOS PERFORANTES POR PAF EN ABDOMEN,SIN REGISTRO
HEMOTÓRAX MASIVO. LACERACIÓN PULMONAR Y VASCULAR. HERIDA PERFORANTE DEL TÓRAX. HERIDA PERFORANTE DE PELVIS.- PAF,SIN REGISTRO
01 HERIDA PENETRANTE TORACOABDOMINAL POR BALA.,SIN REGISTRO
HERIDAS MÚLTIPLES CEFÁLICAS TORÁCICAS Y ABDOMINALES POR BALAS - TRES PENETRANTES.,SIN REGISTRO
01 HERIDA PENETRANTE CRÁNEO-ENCEFÁLICA POR BALA.,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO ABIERTO POR PAF.,SIN REGISTRO
1.TRAUMATISMO TORACO-ABDOMINAL ABIERTO POR PAF -03 HERIDAS PENETRANTES 2.SHOCK HIPOVOLEMICO,SIN REGISTRO
HERIDAS PERFOROCONTUSAS X PAF EN REGIÓN CEFALO CERVICAL Y MIEMBRO SUPERIOR IZQUIERDO 01 PERFORANTE TÓRAX 01 PERFORANTE MIEMBRO SUPERIOR IZQUIERDO 01 PERFORANTE.,SIN REGISTRO
LACERACIÓN ENCEFÁLICA Y VASCULAR. 03 HERIDAS PERFORANTES DE CABEZA. 01 HERIDA PENETRANTE CERVIICO-TORACO-BRAQUIAL. PAF ENCAMISETADO CORTO 9MM,SIN REGISTRO
HERIDA PERFORANTE CERVICOLUMBAR 01 POR PAF,SIN REGISTRO
LACERACION ENCEFÁLICA POR PAF.,SIN REGISTRO
TRAUMATISMO TORACO ABDOMINAL ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO-FACIAL ABIERTO POR PAF - 02 HERIDAS PERFORANTES,SIN REGISTRO
TRAUMATISMO CRANEO-ENCEFALICO ABIERTO POR PAF - 01 HERIDA PERFORANTE,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALA EN CABEZA TÓRAX ABDOMEN PELVIS Y EXTREMIDADES -- NUEVE PENETRANTES,SIN REGISTRO
HEMORRAGIA MASIVA. LACERACIÓN CARDÍACA HEPÁTICA Y PULMONAR. DOS HERIDAS PERFORANTES DEL TÓRAX Y ABDOMEN. PAF.,SIN REGISTRO
HERIDAS MÚLTIPLES CEFÁLICAS CERVICALES TORÁCICAS Y EN EXTREMIDADES POR BALA - TRES PENETRANTES,SIN REGISTRO
LACERACIÓN VASCULAR. HERIDA PENETRANTE CEFALO-CERVICAL HERIDA PENETRANTE ABDOMINAL. PAF ENCAMISETADO 9MM.,SIN REGISTRO
TRAUMATISMO TORAXICO ABIERTO POR PAF PERFORANTE,SIN REGISTRO
HERIDA PERFORANTE Y PENETRANTE 02 DE CABEZA POR PAF,SIN REGISTRO
SEPSIS DE ORIGEN INFECCIOSO. LACERACIÓN VISCERAL. HERIDA PENETRANTE EN ABDOMEN. PAF ENCAMISETADO.,SIN REGISTRO
TRAUMATISMO CARDIO PULMONAR ABIERTO POR PAF,SIN REGISTRO
HERIDAS MULTIPLES POR BALA EN CABEZA TORAX Y ABDOMEN TRES PENETRANTES,SIN REGISTRO
HEMOTÓRAX MASIVO. LACERACIONES PULMONARES. TRAUMATISMOS MÚLTIPLES POR PAF.,SIN REGISTRO
HERIDA PERFORANTE POR PAF 01 CRÁNEO CERVICAL.,SIN REGISTRO
HERIDA PERFORANTE POR PAF 01 EN MUSLO IZQUIERDO.,SIN REGISTRO
SHOCK HIPOVOLÉMICO HEMORRÁGICO. LACERACIÓN VASCULAR ILÍACA. HERIDA PERFORANTE ABDOMINAL. PAF,SIN REGISTRO
HERIDAS PENETRANTES POR PAF LUMBOTORAXICA Y TORAXICA Y HERIDAS PERFORANTES EN ABDOMEN Y MUSLO DERECHO,SIN REGISTRO
CUATRO HERIDAS DE CURSO PENETRANTE Y SEIS HERIDAS DE CURSO PERFORANTE EN REGION CEFALICA CERVICAL TORAXICA ABDOMINAL MIEMBROS SUPERIORES E INFERIORES POR PAF,SIN REGISTRO
HERIDA PERFORANTE CRANEAL POR BALA,SIN REGISTRO
LACERACION Y CONTUSION ENCEFALICA POS PAF.,SIN REGISTRO
HERIDAS PENETRANTES POR PAF EN CABEZA TORAX ABDOMEN Y PELVIS,SIN REGISTRO
LACERACIÓN MULTIPLE PULMONAR POR PAF,SIN REGISTRO
HEMOPERITONEO MASIVO. LACERACIÓN DE ARTERIA ILÍACA IZQUIERDA. HERIDA PERFORANTE DE ABDOMEN POR PAF.,SIN REGISTRO
LACERACIÓN DE AORTA TORÁCICA POR PAF,SIN REGISTRO
CINCO HERIDAS DE CURSO PERFORANTE Y CINCO HERIDAS DE CURSO PENETRANTE EN REGION CEFALO CERVICAL Y TORACO ABDOMINAL POR PAF,SIN REGISTRO
UNA HERIDA DE CURSO PENETRANTE EN REGION TORAXICA POR PAF,SIN REGISTRO
TRAUMA CRANEAL - CERVICAL - MACIZO FACIAL POR PAF,SIN REGISTRO
HERIDAS CEFÁLICAS Y CERVICALES POR BALAS -1 PENETRANTE-,SIN REGISTRO
HERIDA PERFORANTE DE CABEZA ABDOMEN MIEMBROS SUPERIORES POR PAF. HERIDA PENETRANTE DE TORAX MIEMBRO SUPERIOR POR PAF,SIN REGISTRO
TRAUMATISMO PENETRANTE POR PAF EN CABEZA,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE TORAX ABDOMEN MIEMBROS SUPERIORES MIEMBROS INFERIORES POR PAF HERIDA PENETRANTE DE MIEMBRO INFERIOR POR PAF,SIN REGISTRO
LESIÓN CEREBRAL Y VERTEBRO MEDULAR POR PAF,SIN REGISTRO
TRAUMATISMO PENETRANTE EN CABEZA Y TORAX POR PAF,SIN REGISTRO
HERIDA CEFALICA PERFORANTE POR BALA,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO SEVERO POR HERIDAS PENETRANTES POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO SEVERO POR HERIDA PERFORANTE POR PAF EN CABEZA,SIN REGISTRO
DOS HERIDAS PERFORANTES Y DOS HERIDAS PENETRANTES EN REGION TORACOABDOMINAL POR PAF,SIN REGISTRO
HERIDAS CEFÁLICAS MÚLTIPLES POR BALA - TRES PENETRANTES,SIN REGISTRO
UNA HERIDA PENETRANTE POR PAF EN CABEZA Y OTRA EN PELVIS,SIN REGISTRO
TRAUMATISMO VERTEBRO MEDULAR POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALAS EN REGIONES CEFÁLICA TÓRACICA ABDOMINOPELVIANA Y EXTREMIDADES - CINCO PENETRANTES,SIN REGISTRO
SANGRADO MASIVO. LACERACIÓN PULMONAR. HERIDA PENETRANTE DEL TÓRAX. PAF ENCAMISETADO.,SIN REGISTRO
TRAUMATISMO FACIAL CERVICAL POR PAF-01 HERIDA PERFORANTE-02 HERIDAS PENETRANTES,SIN REGISTRO
TRAUMATISMO MULTIPLE ABIERTO POR PAF,SIN REGISTRO
LACERACIONES CEREBRALES Y CEREBELOSAS. FRACTURA DE BASE DE CRÁNEO. TRAUMATISMO CRÁNEO ENCEFÁLICO ABIERTO POR PAF.,SIN REGISTRO
DOS HERIDAS PERFORANTES POR PAF EN TORAX,SIN REGISTRO
HERIDAS PERFORANTES Y PENETRANTES POR PAF EN CABEZA -CUELLO- TORAX- ABDOMEN Y MIEMBROS,SIN REGISTRO
HERIDA PERFORANTE EN REGIÓN TORACO-ABDOMINAL 01 X PAF Y HERIDA PENETRANTE EN MUSLO DERECHO 01 X PAF,SIN REGISTRO
HERIDAS MÚLTIPLES TÓRACOABDOMINALES POR BALAS - 1 PENETRANTE,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO ABIERTO SEVERO POR PAF-PERDIGONES,SIN REGISTRO
HERIDAS PERFORANTES DE TORAX MIEMBRO SUPERIOR ABDOMEN POR PAF,SIN REGISTRO
HERIDA PERFORANTE CON REINGRESO PENETRANTE DE TORAX POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE CABEZA CUELLO MIEMBRO SUPERIOR POR PAF,SIN REGISTRO
SHOCK HIPOVOLÉMICO HEMORRÁGICO. LACERACIÓN ENCEFÁLICA Y VASCULAR. HERIDA DE CURSO PERFORANTE CRANEAL. PAF,SIN REGISTRO
HERIDA PERFOROCONTUSA PENETRANTE EN CABEZA 01 X PAF,SIN REGISTRO
HERIDAS PERFORANTES DE CABERZ POR PAF,SIN REGISTRO
HERIDAS POR PAF EN CABEZA CUELLO TÓRAX Y ABDOMEN,SIN REGISTRO
HERIDAS MÚLTIPLES TORÁCICAS POR BALA - UNA PENETRANTE,SIN REGISTRO
POLITRAUMATIZADO POR PAF,SIN REGISTRO
TRAUMATISMO MÚLTIPLE POR PAF,SIN REGISTRO
04 HERIDAS PENETRANTES EN CABEZA -01 PENETRANTE EN CUELLO Y 03 PENETRANTESENTORAX CAUSADAS POR PAF,SIN REGISTRO
MUERTE SIN ASISTENCIA SANITARIA. SIN SIGNOS DE VIOLENCIA.,SIN REGISTRO
UNA HERIDA PERFORANTE EN REGION MENTOCERVICAL Y UNA HERIDA PENETRANTE EN REGION TORAXICA POR PAF,SIN REGISTRO
SHOCK HIPOVOLEMICO POR PAF,SIN REGISTRO
HERIDA PENETRANTE EN TORAX POR PAF,SIN REGISTRO
UNA HERIDA PENETRANTE POR PAF EN CABEZA UNA HERIDA PERFORANTE POR PAF EN CARA Y CUATRO HERIDAS PERFORANTES POR PAF EN CUELLO,SIN REGISTRO
TRES HERIDAS PERFORANTES Y DOS PENETRANTES EN REGION FACIOCRANEAL Y TORACOABDOMINAL POR PAF,SIN REGISTRO
TRAUMATISMO TORACCICO ABIERTO POR PAF,SIN REGISTRO
HERIDA DE CURSO PENETRANTE EN REGION TORACOABDOMINAL POR PAF,SIN REGISTRO
TRAUMATISMO TORACO-ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO POR PAF,SIN REGISTRO
HERIDAS PENETRANTES CEFÁLICO CERVICAL Y TORÁCICAS POR BALAS,SIN REGISTRO
HERIDAS TÓRACO ABDOMINALES PERFORANTES POR BALAS,SIN REGISTRO
TRAUMA TORAXICO ABIERTO. LACERACION CARDIACA POR PAF,SIN REGISTRO
HERIDA PERFORANTE DE TORAX POR PAF HERIDA PERFORANTE DE ABDOMEN POR PAF,SIN REGISTRO
3 HERIDAS PERFORANTES POR PAF EN CABEZA Y 2 HERIDAS PENETRANTES POR PAF EN TRONCO,SIN REGISTRO
TRAUMATISMO CRANEOTORACOABDOMINAL SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO CORPORAL MÙLTIPLE POR PAF,SIN REGISTRO
HERIDA TORÁCICA PERFORANTE POR BALA,SIN REGISTRO
HERIDAS PENETRANTES CEFÁLICA Y TORÁCICA POR BALA,SIN REGISTRO
TRAUMATISMO TORAXICO ABIERTO SEVERO POR PAF,SIN REGISTRO
